Proje_ID,Bolge,Sehir,Proje_Tipi,Konut_Sayisi,Konut_Fiyati_TL,Toplam_Basvuru,Kura_Kazanma_Sansi_Yuzde,Pesinat_Orani_Yuzde,Pesinat_Tutari_TL,Vade_Ay,Baslangic_Taksiti_TL,Proje_Durumu
TOKI_2026_000000,Ic Anadolu,Ankara,Sosyal Konut (Alt Gelir),2397,1521000.0,40212,5.96,10,152000.0,240,6000.0,Tamamlandi
TOKI_2026_000001,Ege,Izmir,Sosyal Konut (Alt Gelir),1942,1803000.0,23217,8.36,10,180000.0,240,7000.0,Tamamlandi
TOKI_2026_000002,Dogu Anadolu,Hakkari,Sosyal Konut (Alt Gelir),1202,882000.0,6608,18.19,10,88000.0,240,3000.0,Tamamlandi
TOKI_2026_000003,Marmara,Bursa,Sosyal Konut (Alt Gelir),1949,1323000.0,21760,8.96,10,132000.0,240,5000.0,Tamamlandi
TOKI_2026_000004,Ege,Manisa,Sosyal Konut (Alt Gelir),730,1554000.0,5751,12.69,10,155000.0,240,6000.0,Insaat Halinde
TOKI_2026_000005,Dogu Anadolu,Ardahan,Sosyal Konut (Alt Gelir),1088,1158000.0,5607,19.4,10,116000.0,240,4000.0,Insaat Halinde
TOKI_2026_000006,Marmara,Yalova,Kentsel Donusum,2561,2327000.0,21258,12.05,20,465000.0,180,10000.0,Insaat Halinde
TOKI_2026_000007,Dogu Anadolu,Van,Sosyal Konut (Alt Gelir),2416,944000.0,16084,15.02,10,94000.0,240,4000.0,Insaat Halinde
TOKI_2026_000008,Akdeniz,Antalya,Kentsel Donusum,1962,2418000.0,24505,8.01,20,484000.0,180,11000.0,Insaat Halinde
TOKI_2026_000009,Karadeniz,Trabzon,Kentsel Donusum,358,1784000.0,840,42.62,20,357000.0,180,8000.0,Tamamlandi
TOKI_2026_000010,Ic Anadolu,Konya,Sosyal Konut (Alt Gelir),2996,1049000.0,14844,20.18,10,105000.0,240,4000.0,Planlama Asamasinda
TOKI_2026_000011,Ic Anadolu,Cankiri,Kentsel Donusum,455,2045000.0,2018,22.55,20,409000.0,180,9000.0,Insaat Halinde
TOKI_2026_000012,Ic Anadolu,Konya,Sosyal Konut (Alt Gelir),1643,1086000.0,13958,11.77,10,109000.0,240,4000.0,Insaat Halinde
TOKI_2026_000013,Karadeniz,Bayburt,Orta Gelir Konut,713,1971000.0,3196,22.31,20,394000.0,180,9000.0,Tamamlandi
TOKI_2026_000014,Marmara,Istanbul,Sosyal Konut (Alt Gelir),2392,1770000.0,83763,2.86,10,177000.0,240,7000.0,Insaat Halinde
TOKI_2026_000015,Ege,Izmir,Sosyal Konut (Alt Gelir),2688,1523000.0,42954,6.26,10,152000.0,240,6000.0,Insaat Halinde
TOKI_2026_000016,Akdeniz,Antalya,Sosyal Konut (Alt Gelir),1546,1444000.0,34936,4.43,10,144000.0,240,5000.0,Insaat Halinde
TOKI_2026_000017,Ic Anadolu,Karaman,Sosyal Konut (Alt Gelir),647,1075000.0,4686,13.81,10,107000.0,240,4000.0,Insaat Halinde
TOKI_2026_000018,Güneydogu Anadolu,Sanliurfa,Kentsel Donusum,566,1820000.0,1668,33.93,20,364000.0,180,8000.0,Tamamlandi
TOKI_2026_000019,Dogu Anadolu,Elazig,Kentsel Donusum,326,2151000.0,968,33.68,20,430000.0,180,10000.0,Insaat Halinde
TOKI_2026_000020,Marmara,Istanbul,Orta Gelir Konut,1134,3262000.0,20082,5.65,20,652000.0,180,14000.0,Tamamlandi
TOKI_2026_000021,Marmara,Kocaeli,Sosyal Konut (Alt Gelir),1643,1501000.0,18894,8.7,10,150000.0,240,6000.0,Tamamlandi
TOKI_2026_000022,Ic Anadolu,Ankara,Orta Gelir Konut,823,3488000.0,11490,7.16,20,698000.0,180,16000.0,Insaat Halinde
TOKI_2026_000023,Akdeniz,Burdur,Sosyal Konut (Alt Gelir),2125,1328000.0,7925,26.81,10,133000.0,240,5000.0,Tamamlandi
TOKI_2026_000024,Ic Anadolu,Ankara,Sosyal Konut (Alt Gelir),2760,1907000.0,46786,5.9,10,191000.0,240,7000.0,Insaat Halinde
TOKI_2026_000025,Dogu Anadolu,Bingol,Sosyal Konut (Alt Gelir),2982,1218000.0,21086,14.14,10,122000.0,240,5000.0,Insaat Halinde
TOKI_2026_000026,Marmara,Kocaeli,Sosyal Konut (Alt Gelir),1574,1195000.0,14004,11.24,10,119000.0,240,4000.0,Tamamlandi
TOKI_2026_000027,Marmara,Istanbul,Kentsel Donusum,450,3484000.0,6597,6.82,20,697000.0,180,15000.0,Insaat Halinde
TOKI_2026_000028,Ege,Izmir,Orta Gelir Konut,2261,3306000.0,27503,8.22,20,661000.0,180,15000.0,Tamamlandi
TOKI_2026_000029,Güneydogu Anadolu,Gaziantep,Orta Gelir Konut,2648,1978000.0,6857,38.62,20,396000.0,180,9000.0,Tamamlandi
TOKI_2026_000030,Karadeniz,Artvin,Sosyal Konut (Alt Gelir),67,964000.0,251,26.69,10,96000.0,240,4000.0,Insaat Halinde
TOKI_2026_000031,Güneydogu Anadolu,Gaziantep,Sosyal Konut (Alt Gelir),1244,1117000.0,4835,25.73,10,112000.0,240,4000.0,Planlama Asamasinda
TOKI_2026_000032,Ege,Kutahya,Sosyal Konut (Alt Gelir),321,1237000.0,3630,8.84,10,124000.0,240,5000.0,Tamamlandi
TOKI_2026_000033,Ege,Izmir,Sosyal Konut (Alt Gelir),1863,1667000.0,29595,6.29,10,167000.0,240,6000.0,Tamamlandi
TOKI_2026_000034,Ic Anadolu,Ankara,Sosyal Konut (Alt Gelir),1769,1542000.0,30691,5.76,10,154000.0,240,6000.0,Insaat Halinde
TOKI_2026_000035,Ege,Afyonkarahisar,Sosyal Konut (Alt Gelir),2995,1286000.0,39965,7.49,10,129000.0,240,5000.0,Tamamlandi
TOKI_2026_000036,Akdeniz,Adana,Kentsel Donusum,2119,2724000.0,4505,47.04,20,545000.0,180,12000.0,Insaat Halinde
TOKI_2026_000037,Ege,Aydin,Sosyal Konut (Alt Gelir),2140,1345000.0,31972,6.69,10,135000.0,240,5000.0,Tamamlandi
TOKI_2026_000038,Marmara,Bilecik,Sosyal Konut (Alt Gelir),603,1378000.0,4753,12.69,10,138000.0,240,5000.0,Tamamlandi
TOKI_2026_000039,Ege,Izmir,Sosyal Konut (Alt Gelir),962,1805000.0,13275,7.25,10,181000.0,240,7000.0,Tamamlandi
TOKI_2026_000040,Dogu Anadolu,Kars,Sosyal Konut (Alt Gelir),794,1237000.0,3807,20.86,10,124000.0,240,5000.0,Tamamlandi
TOKI_2026_000041,Ic Anadolu,Konya,Sosyal Konut (Alt Gelir),1428,1176000.0,9678,14.76,10,118000.0,240,4000.0,Insaat Halinde
TOKI_2026_000042,Marmara,Istanbul,Sosyal Konut (Alt Gelir),650,1931000.0,27043,2.4,10,193000.0,240,7000.0,Insaat Halinde
TOKI_2026_000043,Ic Anadolu,Ankara,Sosyal Konut (Alt Gelir),836,1905000.0,14904,5.61,10,191000.0,240,7000.0,Tamamlandi
TOKI_2026_000044,Ic Anadolu,Ankara,Sosyal Konut (Alt Gelir),1324,1877000.0,26456,5.0,10,188000.0,240,7000.0,Insaat Halinde
TOKI_2026_000045,Marmara,Bilecik,Kentsel Donusum,2643,2690000.0,22332,11.84,20,538000.0,180,12000.0,Tamamlandi
TOKI_2026_000046,Güneydogu Anadolu,Gaziantep,Sosyal Konut (Alt Gelir),1524,1191000.0,12424,12.27,10,119000.0,240,4000.0,Tamamlandi
TOKI_2026_000047,Güneydogu Anadolu,Adiyaman,Sosyal Konut (Alt Gelir),1503,1082000.0,12896,11.65,10,108000.0,240,4000.0,Insaat Halinde
TOKI_2026_000048,Karadeniz,Karabuk,Sosyal Konut (Alt Gelir),1432,1217000.0,10517,13.62,10,122000.0,240,5000.0,Tamamlandi
TOKI_2026_000049,Marmara,Bursa,Sosyal Konut (Alt Gelir),2875,1530000.0,70486,4.08,10,153000.0,240,6000.0,Insaat Halinde
TOKI_2026_000050,Marmara,Canakkale,Orta Gelir Konut,1462,2622000.0,7809,18.72,20,524000.0,180,12000.0,Tamamlandi
TOKI_2026_000051,Dogu Anadolu,Hakkari,Sosyal Konut (Alt Gelir),627,1280000.0,2788,22.49,10,128000.0,240,5000.0,Tamamlandi
TOKI_2026_000052,Marmara,Istanbul,Orta Gelir Konut,2924,3187000.0,56352,5.19,20,637000.0,180,14000.0,Planlama Asamasinda
TOKI_2026_000053,Ege,Izmir,Sosyal Konut (Alt Gelir),2142,1650000.0,40587,5.28,10,165000.0,240,6000.0,Tamamlandi
TOKI_2026_000054,Marmara,Istanbul,Kentsel Donusum,961,3527000.0,21162,4.54,20,705000.0,180,16000.0,Insaat Halinde
TOKI_2026_000055,Güneydogu Anadolu,Gaziantep,Kentsel Donusum,2191,1926000.0,6238,35.12,20,385000.0,180,9000.0,Planlama Asamasinda
TOKI_2026_000056,Dogu Anadolu,Erzincan,Sosyal Konut (Alt Gelir),2372,930000.0,12058,19.67,10,93000.0,240,3000.0,Insaat Halinde
TOKI_2026_000057,Ege,Izmir,Kentsel Donusum,2446,3571000.0,25842,9.47,20,714000.0,180,16000.0,Planlama Asamasinda
TOKI_2026_000058,Ic Anadolu,Kirsehir,Orta Gelir Konut,1739,1985000.0,8121,21.41,20,397000.0,180,9000.0,Tamamlandi
TOKI_2026_000059,Güneydogu Anadolu,Gaziantep,Kentsel Donusum,520,2098000.0,2481,20.96,20,420000.0,180,9000.0,Insaat Halinde
TOKI_2026_000060,Güneydogu Anadolu,Gaziantep,Sosyal Konut (Alt Gelir),469,974000.0,2824,16.61,10,97000.0,240,4000.0,Tamamlandi
TOKI_2026_000061,Akdeniz,Adana,Sosyal Konut (Alt Gelir),1165,1377000.0,6228,18.71,10,138000.0,240,5000.0,Tamamlandi
TOKI_2026_000062,Akdeniz,Adana,Sosyal Konut (Alt Gelir),2485,1542000.0,9094,27.33,10,154000.0,240,6000.0,Tamamlandi
TOKI_2026_000063,Marmara,Bursa,Sosyal Konut (Alt Gelir),778,1509000.0,16858,4.62,10,151000.0,240,6000.0,Tamamlandi
TOKI_2026_000064,Dogu Anadolu,Erzincan,Sosyal Konut (Alt Gelir),2150,916000.0,13759,15.63,10,92000.0,240,3000.0,Tamamlandi
TOKI_2026_000065,Akdeniz,Isparta,Sosyal Konut (Alt Gelir),376,1552000.0,2391,15.73,10,155000.0,240,6000.0,Insaat Halinde
TOKI_2026_000066,Ic Anadolu,Ankara,Orta Gelir Konut,2647,3485000.0,27819,9.52,20,697000.0,180,15000.0,Tamamlandi
TOKI_2026_000067,Dogu Anadolu,Van,Orta Gelir Konut,2218,1814000.0,5292,41.91,20,363000.0,180,8000.0,Insaat Halinde
TOKI_2026_000068,Marmara,Canakkale,Sosyal Konut (Alt Gelir),1174,1393000.0,13904,8.44,10,139000.0,240,5000.0,Tamamlandi
TOKI_2026_000069,Ic Anadolu,Sivas,Sosyal Konut (Alt Gelir),95,893000.0,479,19.83,10,89000.0,240,3000.0,Insaat Halinde
TOKI_2026_000070,Akdeniz,Antalya,Sosyal Konut (Alt Gelir),680,1217000.0,10158,6.69,10,122000.0,240,5000.0,Insaat Halinde
TOKI_2026_000071,Ic Anadolu,Kirsehir,Sosyal Konut (Alt Gelir),2037,920000.0,8691,23.44,10,92000.0,240,3000.0,Insaat Halinde
TOKI_2026_000072,Ege,Mugla,Sosyal Konut (Alt Gelir),470,1517000.0,6466,7.27,10,152000.0,240,6000.0,Tamamlandi
TOKI_2026_000073,Ege,Izmir,Sosyal Konut (Alt Gelir),2419,1776000.0,53823,4.49,10,178000.0,240,7000.0,Insaat Halinde
TOKI_2026_000074,Ic Anadolu,Ankara,Orta Gelir Konut,1374,3536000.0,16702,8.23,20,707000.0,180,16000.0,Planlama Asamasinda
TOKI_2026_000075,Güneydogu Anadolu,Sanliurfa,Orta Gelir Konut,2292,2052000.0,5907,38.8,20,410000.0,180,9000.0,Tamamlandi
TOKI_2026_000076,Marmara,Bursa,Sosyal Konut (Alt Gelir),1307,1211000.0,25074,5.21,10,121000.0,240,5000.0,Tamamlandi
TOKI_2026_000077,Marmara,Canakkale,Orta Gelir Konut,1902,2474000.0,16170,11.76,20,495000.0,180,11000.0,Insaat Halinde
TOKI_2026_000078,Karadeniz,Corum,Kentsel Donusum,1545,1723000.0,3649,42.34,20,345000.0,180,8000.0,Planlama Asamasinda
TOKI_2026_000079,Güneydogu Anadolu,Batman,Sosyal Konut (Alt Gelir),677,985000.0,5754,11.77,10,99000.0,240,4000.0,Tamamlandi
TOKI_2026_000080,Ic Anadolu,Ankara,Sosyal Konut (Alt Gelir),1564,1536000.0,19601,7.98,10,154000.0,240,6000.0,Tamamlandi
TOKI_2026_000081,Karadeniz,Karabuk,Sosyal Konut (Alt Gelir),2235,1152000.0,11746,19.03,10,115000.0,240,4000.0,Insaat Halinde
TOKI_2026_000082,Güneydogu Anadolu,Adiyaman,Orta Gelir Konut,2613,2018000.0,7116,36.72,20,404000.0,180,9000.0,Tamamlandi
TOKI_2026_000083,Dogu Anadolu,Van,Orta Gelir Konut,2146,1895000.0,4415,48.61,20,379000.0,180,8000.0,Insaat Halinde
TOKI_2026_000084,Ic Anadolu,Ankara,Orta Gelir Konut,2030,3420000.0,17750,11.44,20,684000.0,180,15000.0,Insaat Halinde
TOKI_2026_000085,Marmara,Canakkale,Kentsel Donusum,417,2448000.0,3286,12.69,20,490000.0,180,11000.0,Planlama Asamasinda
TOKI_2026_000086,Ic Anadolu,Ankara,Kentsel Donusum,1151,3456000.0,10222,11.26,20,691000.0,180,15000.0,Insaat Halinde
TOKI_2026_000087,Karadeniz,Giresun,Sosyal Konut (Alt Gelir),357,1279000.0,2901,12.31,10,128000.0,240,5000.0,Insaat Halinde
TOKI_2026_000088,Karadeniz,Karabuk,Sosyal Konut (Alt Gelir),112,1070000.0,953,11.75,10,107000.0,240,4000.0,Planlama Asamasinda
TOKI_2026_000089,Marmara,Bursa,Sosyal Konut (Alt Gelir),470,1132000.0,7477,6.29,10,113000.0,240,4000.0,Insaat Halinde
TOKI_2026_000090,Akdeniz,Adana,Orta Gelir Konut,58,2621000.0,189,30.69,20,524000.0,180,12000.0,Planlama Asamasinda
TOKI_2026_000091,Dogu Anadolu,Bingol,Sosyal Konut (Alt Gelir),1939,886000.0,16894,11.48,10,89000.0,240,3000.0,Insaat Halinde
TOKI_2026_000092,Güneydogu Anadolu,Sanliurfa,Orta Gelir Konut,2466,2176000.0,8817,27.97,20,435000.0,180,10000.0,Insaat Halinde
TOKI_2026_000093,Marmara,Istanbul,Kentsel Donusum,1978,3540000.0,27131,7.29,20,708000.0,180,16000.0,Tamamlandi
TOKI_2026_000094,Akdeniz,Adana,Kentsel Donusum,1705,2637000.0,5641,30.23,20,527000.0,180,12000.0,Tamamlandi
TOKI_2026_000095,Dogu Anadolu,Hakkari,Sosyal Konut (Alt Gelir),2319,955000.0,13605,17.05,10,96000.0,240,4000.0,Tamamlandi
TOKI_2026_000096,Dogu Anadolu,Elazig,Sosyal Konut (Alt Gelir),1946,1306000.0,11054,17.6,10,131000.0,240,5000.0,Insaat Halinde
TOKI_2026_000097,Akdeniz,Hatay,Kentsel Donusum,817,2339000.0,2654,30.78,20,468000.0,180,10000.0,Insaat Halinde
TOKI_2026_000098,Karadeniz,Bayburt,Sosyal Konut (Alt Gelir),617,875000.0,4822,12.8,10,87000.0,240,3000.0,Tamamlandi
TOKI_2026_000099,Marmara,Bilecik,Sosyal Konut (Alt Gelir),834,1325000.0,12280,6.79,10,133000.0,240,5000.0,Tamamlandi
TOKI_2026_000100,Dogu Anadolu,Agri,Sosyal Konut (Alt Gelir),961,915000.0,8585,11.19,10,92000.0,240,3000.0,Insaat Halinde
TOKI_2026_000101,Ic Anadolu,Konya,Sosyal Konut (Alt Gelir),2030,977000.0,10696,18.98,10,98000.0,240,4000.0,Tamamlandi
TOKI_2026_000102,Dogu Anadolu,Agri,Kentsel Donusum,1545,1876000.0,7544,20.48,20,375000.0,180,8000.0,Tamamlandi
